ENSEMBL_RNOR,Symbol
ENSRNOG00000039581,AABR07027111.1
ENSRNOG00000030442,AABR07027322.1
ENSRNOG00000061795,AABR07027322.2
ENSRNOG00000024499,AABR07027342.1
ENSRNOG00000059828,AABR07027342.2
ENSRNOG00000041434,AABR07027387.1
ENSRNOG00000036399,AABR07027390.1
ENSRNOG00000039120,AABR07027478.1
ENSRNOG00000041315,AABR07027569.1
ENSRNOG00000036397,AABR07027722.1
ENSRNOG00000036339,AABR07027810.1
ENSRNOG00000031902,AABR07027819.1
ENSRNOG00000021292,AABR07028027.1
ENSRNOG00000058796,AABR07028027.2
ENSRNOG00000041870,AABR07028106.1
ENSRNOG00000041347,AABR07028183.1
ENSRNOG00000042036,AABR07028185.1
ENSRNOG00000018685,AABR07028237.1
ENSRNOG00000057220,AABR07028237.2
ENSRNOG00000021584,AABR07028349.1
ENSRNOG00000058905,AABR07028349.2
ENSRNOG00000041302,AABR07028477.1
ENSRNOG00000040462,AABR07028478.1
ENSRNOG00000041258,AABR07028479.1
ENSRNOG00000041297,AABR07028479.2
ENSRNOG00000031519,AABR07028691.1
ENSRNOG00000030638,AABR07028748.1
ENSRNOG00000061855,AABR07028748.2
ENSRNOG00000016710,AABR07028779.1
ENSRNOG00000056062,AABR07028779.2
ENSRNOG00000028231,AABR07029202.1
ENSRNOG00000061030,AABR07029202.2
ENSRNOG00000029706,AABR07029262.1
ENSRNOG00000061524,AABR07029262.2
ENSRNOG00000003214,AABR07029742.1
ENSRNOG00000047398,AABR07029742.2
ENSRNOG00000004092,AABR07029847.1
ENSRNOG00000048088,AABR07029847.2
ENSRNOG00000019814,AABR07029933.1
ENSRNOG00000057899,AABR07029933.2
ENSRNOG00000031525,AABR07029955.1
ENSRNOG00000030217,AABR07030122.1
ENSRNOG00000061712,AABR07030122.2
ENSRNOG00000031560,AABR07030162.1
ENSRNOG00000032558,AABR07030263.1
ENSRNOG00000022375,AABR07030375.1
ENSRNOG00000059164,AABR07030375.2
ENSRNOG00000012973,AABR07030464.1
ENSRNOG00000053955,AABR07030464.2
ENSRNOG00000042025,AABR07030520.1
ENSRNOG00000028427,AABR07030524.1
ENSRNOG00000061094,AABR07030524.2
ENSRNOG00000029597,AABR07030544.1
ENSRNOG00000061492,AABR07030544.2
ENSRNOG00000030224,AABR07030729.1
ENSRNOG00000061714,AABR07030729.2
ENSRNOG00000036452,AABR07030891.1
ENSRNOG00000032442,AABR07030911.1
ENSRNOG00000030649,AABR07031138.1
ENSRNOG00000061862,AABR07031138.2
ENSRNOG00000041730,AABR07031182.1
ENSRNOG00000041473,AABR07031674.1
ENSRNOG00000042376,AABR07031734.3
ENSRNOG00000030301,AABR07031937.1
ENSRNOG00000061744,AABR07031937.2
ENSRNOG00000041577,AABR07032232.1
ENSRNOG00000028381,AABR07032255.1
ENSRNOG00000031591,AABR07032255.2
ENSRNOG00000061079,AABR07032255.2
ENSRNOG00000036406,AABR07032343.1
ENSRNOG00000038592,AABR07032453.1
ENSRNOG00000015806,AABR07032457.1
ENSRNOG00000055520,AABR07032457.2
ENSRNOG00000038598,AABR07032503.1
ENSRNOG00000036405,AABR07032523.1
ENSRNOG00000026428,AABR07032661.1
ENSRNOG00000060468,AABR07032661.2
ENSRNOG00000013622,AABR07032821.1
ENSRNOG00000054306,AABR07032821.2
ENSRNOG00000038211,AABR07032856.1
ENSRNOG00000018224,AABR07033020.1
ENSRNOG00000056935,AABR07033020.2
ENSRNOG00000000713,AABR07033045.1
ENSRNOG00000044409,AABR07033045.2
ENSRNOG00000030674,AABR07033162.1
ENSRNOG00000061868,AABR07033162.2
ENSRNOG00000036334,AABR07033229.1
ENSRNOG00000032213,AABR07033524.1
ENSRNOG00000001566,AABR07033579.1
ENSRNOG00000046097,AABR07033579.2
ENSRNOG00000040060,AABR07033580.1
ENSRNOG00000040050,AABR07033590.1
ENSRNOG00000017167,AABR07033851.1
ENSRNOG00000056343,AABR07033851.2
ENSRNOG00000041520,AABR07033856.1
ENSRNOG00000036332,AABR07033859.1
ENSRNOG00000031634,AABR07033920.1
ENSRNOG00000001675,AABR07033943.1
ENSRNOG00000046185,AABR07033943.2
ENSRNOG00000042474,AABR07033979.1
ENSRNOG00000039562,AABR07033987.1
ENSRNOG00000001601,AABR07034008.1
ENSRNOG00000046134,AABR07034008.2
ENSRNOG00000023917,AABR07034362.1
ENSRNOG00000059649,AABR07034362.2
ENSRNOG00000041444,AABR07034404.1
ENSRNOG00000001777,AABR07034428.1
ENSRNOG00000046268,AABR07034428.2
ENSRNOG00000038610,AABR07034445.1
ENSRNOG00000036328,AABR07034502.1
ENSRNOG00000036327,AABR07034544.1
ENSRNOG00000040314,AABR07034637.1
ENSRNOG00000033115,AABR07034641.1
ENSRNOG00000039674,AABR07034657.1
ENSRNOG00000042193,AABR07034729.1
ENSRNOG00000028592,AABR07035074.1
ENSRNOG00000061147,AABR07035074.2
ENSRNOG00000028544,AABR07035091.1
ENSRNOG00000061131,AABR07035091.2
ENSRNOG00000000887,AABR07035098.1
ENSRNOG00000045298,AABR07035098.2
ENSRNOG00000000891,AABR07035107.1
ENSRNOG00000045356,AABR07035107.2
ENSRNOG00000041336,AABR07035475.1
ENSRNOG00000034287,AABR07035916.1
ENSRNOG00000000964,AABR07036087.1
